# docs-template v1.0.0 migration inventory
# B=37f7198edd9e27f1c7270fb74ce2caf83dca27de
# U=v1.0.0@f71e9ab20466ea2972158334261f5ae2b2265754
# P=d823baf77878693e46828ec423aaa8d444ec024f (clean cutoff; isolated worktree)
# resolution values: apply|merge|keep|remove|defer; disposition records non-destructive handling when applicable
path	upstream_delta	project_relation	resolution	disposition	rationale
_docs/intent/Workflow/docs-template-v1-migration/decision.md	unchanged	upstream-owned-unmodified	apply	none	migration-created-artifact
_docs/intent/Workflow/lifecycle-self-audit/decision.md	A	upstream-owned-unmodified	defer	none	upstream-template-self-history-excluded-and-absent-at-P
_docs/plan/DesignSystem/editorial-media-typography/plan.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/plan/Pkg/dependency-baseline-upgrade/plan.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/plan/Pkg/drop-in-styles/plan.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/plan/Pkg/initial-public-publish/plan.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/plan/Pkg/namespace-export-design/plan.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/plan/Pkg/release-contract-hardening/plan.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/archives/plan/Template/intent-qa-finalization/plan.md	n/a	migration-created	keep	archive	allowed-plan-archive-target-preserves-record-without-deletion-hook-bypass
_docs/plan/Template/intent-qa-finalization/plan.md	D	upstream-owned-unmodified	keep	archive	exact-B-at-P-and-U-removed-with-no-project-refs; moved-under-allowed-_docs/archives/plan/Template/intent-qa-finalization/plan.md
_docs/plan/Workflow/docs-template-v1-migration/plan.md	unchanged	upstream-owned-unmodified	apply	none	migration-created-artifact
_docs/plan/Workflow/lifecycle-self-audit/plan.md	A	upstream-owned-unmodified	defer	none	upstream-template-self-history-excluded-and-absent-at-P
_docs/qa/DesignSystem/editorial-media-typography/test-plan.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/qa/DesignSystem/editorial-media-typography/verification.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/qa/Pkg/dependency-baseline-upgrade/test-plan.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/qa/Pkg/dependency-baseline-upgrade/verification.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/qa/Pkg/drop-in-styles/test-plan.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/qa/Pkg/drop-in-styles/verification.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/qa/Pkg/initial-public-publish/test-plan.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/qa/Pkg/initial-public-publish/verification.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/qa/Pkg/namespace-export-design/test-plan.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/qa/Pkg/namespace-export-design/verification.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/qa/Pkg/release-contract-hardening/test-plan.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/qa/Pkg/release-contract-hardening/verification.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/qa/Template/intent-qa-finalization/test-plan.md	D	upstream-owned-unmodified	keep	supersede	exact-B-at-P-and-U-removed-with-no-project-refs; retained-at-canonical-QA-path-as-schema-valid-superseded-record-linking-current-migration-authority
_docs/qa/Template/intent-qa-finalization/verification.md	D	upstream-owned-unmodified	keep	supersede	exact-B-at-P-and-U-removed-with-no-project-refs; retained-at-canonical-QA-path-as-schema-valid-superseded-historical-evidence-linking-current-migration-authority
_docs/qa/Workflow/docs-template-v1-migration/inventory.tsv	unchanged	upstream-owned-unmodified	apply	none	migration-created-artifact
_docs/qa/Workflow/docs-template-v1-migration/test-plan.md	unchanged	upstream-owned-unmodified	apply	none	migration-created-artifact
_docs/qa/Workflow/docs-template-v1-migration/verification.md	unchanged	upstream-owned-unmodified	apply	none	migration-created-artifact
_docs/qa/Workflow/lifecycle-self-audit/test-plan.md	A	upstream-owned-unmodified	defer	none	upstream-template-self-history-excluded-and-absent-at-P
_docs/qa/Workflow/lifecycle-self-audit/verification.md	A	upstream-owned-unmodified	defer	none	upstream-template-self-history-excluded-and-absent-at-P
_docs/reference/DesignSystem/component-selection-map.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/accordion.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/avatar.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/badge.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/breadcrumb.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/button.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/card.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/checkbox.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/chip.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/combobox.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/dialog.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/field.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/icon.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/inline-edit.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/input.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/link.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/logo-frame.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/media-frame.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/menu.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/meter.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/navigation-menu.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/number-field.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/pagination.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/popover.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/preview-card.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/progress.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/prose.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/radio.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/scroll-area.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/segmented-control.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/select.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/separator.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/skeleton.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/slider.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/spinner.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/switch.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/table.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/tabs.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/toast.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/toggle.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/components/tooltip.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/headless-primitive-policy.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/motion-grammar.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/principles.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/reference/DesignSystem/token-semantic-usage-map.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/standards/documentation_guidelines.md	M	customized-shared	merge	none	pathwise-merge-preserves-project-customization
_docs/standards/documentation_operations.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_docs/standards/jj_workflow.md	D	upstream-owned-unmodified	keep	quarantine	exact-B-at-P-and-U-removed-with-no-project-refs; moved-to-.template-legacy/standards/jj_workflow.md-with-non-operational-banner
_docs/standards/quality_assurance.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_docs/standards/templates/intent.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_docs/standards/templates/plan.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_docs/standards/templates/qa-test-plan.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_docs/standards/templates/qa-verification.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_evals/agent-workflows/README.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_evals/agent-workflows/cases/archive-flow.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_evals/agent-workflows/cases/breaking-change.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_evals/agent-workflows/cases/experimental-baseline.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
_evals/agent-workflows/cases/historical-prompt-not-operational.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_evals/agent-workflows/cases/intentional-omission-risk.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
_evals/agent-workflows/cases/medium-feature.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_evals/agent-workflows/cases/misleading-optimization.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
_evals/agent-workflows/cases/qa-prep-from-intent.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_evals/agent-workflows/cases/rationale-preserving-change.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
_evals/agent-workflows/cases/refactor-behavior-preservation.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_evals/agent-workflows/cases/small-bug.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_evals/agent-workflows/cases/stale-draft-cleanup.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_evals/agent-workflows/cases/template-version-migration.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
_evals/agent-workflows/expected-invariants.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_evals/validator-fixtures/README.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_evals/validator-fixtures/frontmatter/valid/intent-schema.md	unchanged	upstream-owned-unmodified	apply	none	migration-created-artifact
_evals/validator-fixtures/frontmatter/valid/qa-schema.md	unchanged	upstream-owned-unmodified	apply	none	migration-created-artifact
_evals/validator-fixtures/frontmatter/warning/schema-on-wrong-type.md	unchanged	upstream-owned-unmodified	apply	none	migration-created-artifact
_evals/validator-fixtures/frontmatter/warning/unknown-field.md	unchanged	upstream-owned-unmodified	apply	none	migration-created-artifact
_evals/validator-fixtures/intent/invalid/missing-why.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
_evals/validator-fixtures/intent/invalid/orphan-invariant.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
_evals/validator-fixtures/intent/valid/decision.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
_evals/validator-fixtures/links/valid-reference-anchor.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
_evals/validator-fixtures/qa/invalid/missing-invariant.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_evals/validator-fixtures/qa/invalid/qa-archive-path.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_evals/validator-fixtures/qa/invalid/status-verdict-mismatch.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_evals/validator-fixtures/qa/invalid/v2-missing-decision-scope.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
_evals/validator-fixtures/qa/invalid/verification-in-progress-status.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_evals/validator-fixtures/qa/invalid/verification-missing-test-plan-reference.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_evals/validator-fixtures/qa/valid/test-plan.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
_evals/validator-fixtures/qa/valid/verification-pass.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
assets/otibo-visual.png	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
biome.json	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
docs-template.lock.example.json	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
docs-template.lock.json	unchanged	upstream-owned-unmodified	apply	none	migration-created-artifact
package-lock.json	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
package.json	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
panda.config.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
preset.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
scripts/agent-workflow-hook.mjs	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
scripts/build-package-styles.mjs	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
scripts/check-docs.sh	M	customized-shared	merge	none	pathwise-merge-preserves-project-customization
scripts/lint-package.mjs	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
scripts/scope.mjs	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
scripts/test-agent-workflow-hook.mjs	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
scripts/test-agent-workflow-smoke.mjs	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
scripts/test-validators.mjs	M	customized-shared	merge	none	pathwise-merge-preserves-project-customization
scripts/validate-doc-links.mjs	M	customized-shared	merge	none	pathwise-merge-preserves-project-customization
scripts/validate-frontmatter.mjs	M	customized-shared	merge	none	pathwise-merge-preserves-project-customization
scripts/validate-intent.mjs	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
scripts/validate-qa.mjs	M	customized-shared	merge	none	pathwise-merge-preserves-project-customization
scripts/validate-todo.mjs	unchanged	customized-shared	keep	none	project-delta-preserved-without-template-change
scripts/verify-ladle-build.mjs	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
scripts/verify-package.mjs	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/_explore/accent-candidates.stories.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/_explore/account-settings.stories.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/_explore/gallery.stories.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/_explore/project-brief.stories.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/accordion/accordion.recipe.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/accordion/accordion.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/accordion/index.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/avatar/avatar.recipe.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/avatar/avatar.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/avatar/index.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/badge/badge.recipe.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/badge/badge.stories.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/badge/badge.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/badge/index.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/breadcrumb/breadcrumb.recipe.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/breadcrumb/breadcrumb.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/breadcrumb/index.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/button/button.recipe.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/button/button.stories.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/button/button.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/button/index.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/card/card.recipe.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/card/card.stories.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/card/card.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/card/index.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/checkbox/checkbox.recipe.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/checkbox/checkbox.stories.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/checkbox/checkbox.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/checkbox/index.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/chip/chip.recipe.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/chip/chip.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/chip/index.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/combobox/combobox.recipe.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/combobox/combobox.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/combobox/index.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/dialog/dialog.recipe.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/dialog/dialog.stories.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/dialog/dialog.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/dialog/index.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/field/field.recipe.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/field/field.stories.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/field/field.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/field/index.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/icon/icon.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/icon/index.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/inline-edit/index.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/inline-edit/inline-edit.recipe.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/inline-edit/inline-edit.stories.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/inline-edit/inline-edit.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/input/index.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/input/input.recipe.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/input/input.stories.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/input/input.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/link/index.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/link/link.recipe.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/link/link.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/logo-frame/index.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/logo-frame/logo-frame.recipe.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/logo-frame/logo-frame.stories.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/logo-frame/logo-frame.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/media-frame/index.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/media-frame/media-frame.recipe.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/media-frame/media-frame.stories.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/media-frame/media-frame.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/menu/index.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/menu/menu.recipe.ts	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
src/core-ui/menu/menu.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
